Time,P1(bar),P2(bar),T,P1a,P2a,p1b,p2b,CEFNI,,,
57,77.27962963,6,293,324.2862665,0.615733417,317.2243363,0.738880101,10.3909465,,,
58,77.25532407,8,376.6676655,324.2862665,0.615733417,317.1245647,0.766340869,10.14879348,,,
59,77.23101852,8,450.4210977,324.2862665,0.615733417,317.024793,0.640857694,12.29166305,,,
60,77.20671296,8,573.6084349,324.2862665,0.615733417,316.9250214,0.503228001,15.85161883,,,
61,77.18240741,8,573.3017577,324.2862665,0.615733417,316.8252498,0.503497193,16.04130108,,,
62,77.15462963,7,573.0695085,324.2862665,0.615733417,316.7112251,0.440738591,18.58420149,,,
63,77.12222222,6,573.0231935,324.2862665,0.615733417,316.5781963,0.377806469,22.0319245,,,
64,77.08333333,5,420.9240547,324.2862665,0.615733417,316.4185617,0.428604375,19.79316753,,,
65,77.04444444,5,316.1502737,324.2862665,0.615733417,316.2589271,0.570646007,15.1461198,,,
66,77.00555556,5,293.9930548,324.2862665,0.615733417,316.0992925,0.613653582,14.34475024,,,
67,76.97314815,6,293,324.2862665,0.615733417,315.9662637,0.738880101,12.0936214,,,
68,76.94074074,6,376.6433722,324.2862665,0.615733417,315.8332348,0.574792723,15.77745274,,,
69,76.91643519,8,450.3691419,324.2862665,0.615733417,315.7334632,0.640931625,14.3050152,,,
70,76.89212963,8,573.4855985,324.2862665,0.615733417,315.6336916,0.503335789,18.41376764,,,
71,76.86782407,8,573.8369818,324.2862665,0.615733417,315.53392,0.503027576,18.62339228,,,
72,76.84351852,8,573.6040497,324.2862665,0.615733417,315.4341484,0.503231848,18.8140944,,,
73,76.81574074,7,573.4393189,324.2862665,0.615733417,315.3201237,0.440454359,21.75452689,,,
74,76.78333333,6,420.3758567,324.2862665,0.615733417,315.1870948,0.514995964,18.8640411,,,
75,76.74444444,5,316.8869233,324.2862665,0.615733417,315.0274603,0.569319458,17.34446186,,,
76,76.70555556,5,293.3576906,324.2862665,0.615733417,314.8678257,0.614982655,16.3161906,,,
77,76.66666667,5,293,324.2862665,0.615733417,314.7081911,0.615733417,16.55555556,,,
78,76.63425926,6,376.7230865,324.2862665,0.615733417,314.5751622,0.574671097,17.96999652,,,
79,76.60185185,6,450.9856374,324.2862665,0.615733417,314.4421334,0.480041606,21.78949975,,,
80,76.5775463,8,573.7764503,324.2862665,0.615733417,314.3423618,0.503080644,20.98995101,,,
81,76.55324074,8,573.9581901,324.2862665,0.615733417,314.2425902,0.502921347,21.19498357,,,
82,76.52893519,8,573.2855218,324.2862665,0.615733417,314.1428186,0.503511453,21.36829508,,,
83,76.50462963,8,573.3511687,324.2862665,0.615733417,314.0430469,0.503453802,21.56891629,,,
84,76.47685185,7,420.7735897,324.2862665,0.615733417,313.9290222,0.600260696,18.28035336,,,
85,76.44444444,6,316.7911519,324.2862665,0.615733417,313.7959934,0.683389887,16.25134738,,,
86,76.40555556,5,293.5763164,324.2862665,0.615733417,313.6363588,0.614524678,18.3322842,,,
87,76.36666667,5,293,324.2862665,0.615733417,313.4767242,0.615733417,18.55555556,,,
88,76.32777778,5,376.268304,324.2862665,0.615733417,313.3170896,0.479471402,24.16183775,,,
89,76.29537037,6,450.779856,324.2862665,0.615733417,313.1840608,0.480260745,24.39911895,,,
90,76.26296296,6,573.3968253,324.2862665,0.615733417,313.051032,0.377560286,31.3882797,,,
91,76.23865741,8,573.7804953,324.2862665,0.615733417,312.9512604,0.503077097,23.75528434,,,
92,76.21435185,8,573.5196803,324.2862665,0.615733417,312.8514888,0.503305878,23.94271882,,,
93,76.1900463,8,573.7663625,324.2862665,0.615733417,312.7517171,0.503089489,24.15133489,,,
94,76.16574074,8,420.078779,324.2862665,0.615733417,312.6519455,0.687146889,17.82741732,,,
95,76.13796296,7,316.2679481,324.2862665,0.615733417,312.5379208,0.79860716,15.48205385,,,
96,76.10555556,6,293.7920969,324.2862665,0.615733417,312.404892,0.736887996,16.95930446,,,
97,76.06666667,5,293,324.2862665,0.615733417,312.2452574,0.615733417,20.55555556,,,
98,76.02777778,5,376.306117,324.2862665,0.615733417,312.0856228,0.479423222,26.73290833,,,
99,75.98888889,5,450.6116164,324.2862665,0.615733417,311.9259882,0.400366712,32.41031598,,,
100,75.95648148,6,573.951584,324.2862665,0.615733417,311.7929594,0.377195352,34.75398203,,,
101,75.92407407,6,573.5363191,324.2862665,0.615733417,311.6599306,0.377468457,35.08126055,,,
102,75.89976852,8,573.9904871,324.2862665,0.615733417,311.560159,0.502893049,26.53017564,,,
103,75.87546296,8,573.6942985,324.2862665,0.615733417,311.4603873,0.503152684,26.71477856,,,
104,75.85115741,8,420.2735574,324.2862665,0.615733417,311.3606157,0.686828426,19.71581786,,,
105,75.82685185,8,316.9663773,324.2862665,0.615733417,311.2608441,0.910682794,14.97904195,,,
106,75.79907407,7,293.5586001,324.2862665,0.615733417,311.1468194,0.86038647,15.9872115,,,
107,75.76666667,6,293,324.2862665,0.615733417,311.0137906,0.738880101,18.7962963,,,
108,75.72777778,5,376.8576576,324.2862665,0.615733417,310.854156,0.478721575,29.34449716,,,
109,75.69537037,6,450.9058913,324.2862665,0.615733417,310.7211272,0.480126505,29.53570065,,,
110,75.66759259,7,573.2492815,324.2862665,0.615733417,310.6071024,0.440600374,32.44413366,,,
111,75.63981481,7,573.4165822,324.2862665,0.615733417,310.4930777,0.440471824,32.71247183,,,
112,75.61203704,7,573.0965488,324.2862665,0.615733417,310.379053,0.440717796,32.95293944,,,
113,75.58773148,8,573.1441021,324.2862665,0.615733417,310.2792814,0.503635691,29.03431729,,,
114,75.56342593,8,420.7557237,324.2862665,0.615733417,310.1795098,0.686041353,21.46006214,,,
115,75.53912037,8,316.3788365,324.2862665,0.615733417,310.0797382,0.912374005,16.24581763,,,
116,75.51481481,8,293.3147384,324.2862665,0.615733417,309.9799666,0.984116337,15.16287531,,,
117,75.48703704,7,293,324.2862665,0.615733417,309.8659419,0.862026784,17.44268078,,,
118,75.45462963,6,376.0782321,324.2862665,0.615733417,309.732913,0.575656475,26.35093583,,,
119,75.41574074,5,450.8107382,324.2862665,0.615733417,309.5732784,0.400189871,38.30362169,,,
120,75.38796296,7,573.0566576,324.2862665,0.615733417,309.4592537,0.440748475,35.03754868,,,
121,75.36018519,7,573.8690598,324.2862665,0.615733417,309.345229,0.440124526,35.34629392,,,
122,75.33240741,7,573.289065,324.2862665,0.615733417,309.2312043,0.440569798,35.56938222,,,
123,75.30462963,7,573.9319612,324.2862665,0.615733417,309.1171796,0.440076289,35.86837247,,,
124,75.27222222,6,420.9007489,324.2862665,0.615733417,308.9841508,0.514353729,30.94728044,,,
125,75.23981481,6,316.8206894,324.2862665,0.615733417,308.851122,0.683326174,23.48933572,,,
126,75.20092593,5,293.705729,324.2862665,0.615733417,308.6914874,0.614253906,26.39057292,,,
127,75.16203704,5,293,324.2862665,0.615733417,308.5318528,0.615733417,26.58641975,,,
128,75.12314815,5,376.4446282,324.2862665,0.615733417,308.3722182,0.479246821,34.49116606,,,
129,75.09074074,6,450.7169747,324.2862665,0.615733417,308.2391894,0.480327748,34.69050157,,,
130,75.06296296,7,573.0514016,324.2862665,0.615733417,308.1251647,0.440752517,38.06407122,,,
131,75.03518519,7,573.5787429,324.2862665,0.615733417,308.01114,0.440347295,38.35804175,,,
132,75.00740741,7,573.6882993,324.2862665,0.615733417,307.8971152,0.440263202,38.62436046,,,
133,74.97962963,7,573.7491731,324.2862665,0.615733417,307.7830905,0.440216491,38.88747849,,,
134,74.95185185,7,420.3501233,324.2862665,0.615733417,307.6690658,0.600865407,28.68019001,,,
135,74.91296296,5,316.568434,324.2862665,0.615733417,307.5094312,0.569892231,30.51904846,,,
136,74.88055556,6,293.0072959,324.2862665,0.615733417,307.3764024,0.738861703,23.71972643,,,
137,74.84814815,6,293,324.2862665,0.615733417,307.2433736,0.738880101,23.89917695,,,
138,74.82384259,8,376.6865779,324.2862665,0.615733417,307.143602,0.766302393,23.17413864,,,
139,74.79953704,8,450.6662609,324.2862665,0.615733417,307.0438304,0.640509066,27.88121269,,,
140,74.77523148,8,573.7800688,324.2862665,0.615733417,306.9440587,0.503077471,35.69617437,,,
141,74.75092593,8,573.5871264,324.2862665,0.615733417,306.8442871,0.503246696,35.88242686,,,
142,74.72314815,7,573.256032,324.2862665,0.615733417,306.7302624,0.440595186,41.24361331,,,
143,74.69537037,7,573.9465676,324.2862665,0.615733417,306.6162377,0.44006509,41.55240347,,,
144,74.65648148,5,420.9148098,324.2862665,0.615733417,306.4566031,0.428613789,43.03500552,,,
145,74.61759259,5,316.3143053,324.2862665,0.615733417,306.2969685,0.570350086,32.62037088,,,
146,74.5787037,5,293.101536,324.2862665,0.615733417,306.1373339,0.615520116,30.48586953,,,
147,74.53981481,5,293,324.2862665,0.615733417,305.9776993,0.615733417,30.7345679,,,
148,74.50740741,6,376.0827714,324.2862665,0.615733417,305.8446705,0.575649527,33.10578477,,,
149,74.475,6,450.0258153,324.2862665,0.615733417,305.7116417,0.481065446,39.89136683,,,
150,74.45069444,8,573.0105508,324.2862665,0.615733417,305.6118701,0.503753073,38.292828,,,
151,74.42638889,8,573.3363771,324.2862665,0.615733417,305.5120985,0.503466791,38.51277135,,,
152,74.40208333,8,573.7846763,324.2862665,0.615733417,305.4123268,0.503073431,38.74120915,,,
153,74.37777778,8,573.9788853,324.2862665,0.615733417,305.3125552,0.502903214,38.95271319,,,
154,74.35,7,420.976103,324.2862665,0.615733417,305.1985305,0.599971937,32.84065163,,,
155,74.31759259,6,316.7947273,324.2862665,0.615733417,305.0655017,0.683382174,29.02694704,,,
156,74.2787037,5,293.9456493,324.2862665,0.615733417,304.9058671,0.613752548,32.58012179,,,
157,74.23981481,5,293,324.2862665,0.615733417,304.7462325,0.615733417,32.7345679,,,
158,74.20740741,6,376.8168681,324.2862665,0.615733417,304.6132037,0.574528074,35.31384644,,,
